Date,Close/Last,Volume,Open,High,Low
02/26/2025,$36.34,1053,$36.34,$36.34,$36.34
02/25/2025,$33.60,2836,$33.16,$36.34,$33.00
02/24/2025,$34.60,6837,$33.86,$36.35,$33.86
02/21/2025,$34.16,2779,$33.00,$36.00,$33.00
02/20/2025,$35.34,5254,$34.50,$35.34,$33.50
02/19/2025,$34.40,5337,$36.29,$36.45,$33.56
02/18/2025,$33.45,2516,$32.71,$35.04,$32.71
02/14/2025,$32.71,1388,$32.71,$32.71,$32.71
02/13/2025,$35.04,3050,$32.57,$35.04,$32.57
02/12/2025,$32.50,7888,$33.00,$33.51,$32.16
02/11/2025,$33.40,2848,$34.20,$34.20,$32.16
02/10/2025,$32.05,6560,$33.34,$33.50,$31.86
02/07/2025,$32.00,3167,$33.34,$33.34,$31.50
02/06/2025,$33.50,7378,$33.34,$33.50,$31.46
02/05/2025,$31.724,10769,$31.44,$32.39,$31.44
02/04/2025,$32.77,2249,$33.34,$33.34,$31.44
02/03/2025,$32.00,4902,$31.16,$33.34,$31.16
01/31/2025,$31.34,2120,$31.00,$33.25,$31.00
01/30/2025,$32.96,1328,$32.59,$32.96,$32.05
01/29/2025,$32.50,4467,$31.34,$32.59,$31.34
01/28/2025,$32.59,2330,$34.45,$34.45,$31.16
01/27/2025,$32.59,2285,$32.59,$32.59,$32.00
01/24/2025,$31.13,1524,$32.59,$32.59,$31.13
01/23/2025,$30.96,3336,$32.89,$32.89,$30.96
01/22/2025,$33.14,3898,$33.34,$33.34,$31.16
01/21/2025,$31.01,5815,$32.74,$32.98,$30.46
01/17/2025,$31.61,2509,$32.00,$32.59,$30.11
01/16/2025,$32.59,13681,$32.59,$32.59,$30.55
01/15/2025,$32.74,1916,$32.01,$32.84,$31.90
01/14/2025,$32.84,2801,$32.00,$32.84,$32.00
01/13/2025,$32.16,1707,$33.34,$33.34,$32.16
01/10/2025,$32.84,11524,$33.34,$33.34,$31.91
01/08/2025,$32.62,4202,$33.00,$33.00,$31.91
01/07/2025,$32.84,3084,$32.16,$32.84,$32.12
01/06/2025,$31.91,1585,$32.84,$32.84,$31.91
01/03/2025,$32.20,2126,$30.16,$33.34,$30.16
01/02/2025,$31.22,1940,$33.34,$33.34,$30.16
12/31/2024,$33.34,2476,$33.34,$33.34,$31.66
12/30/2024,$31.66,2708,$33.09,$33.25,$31.66
12/27/2024,$32.10,3732,$33.34,$33.34,$31.70
12/26/2024,$33.34,1404,$32.21,$33.34,$32.21
12/24/2024,$32.775,3017,$33.34,$33.34,$32.21
12/23/2024,$32.275,4801,$33.38,$33.38,$32.00
12/20/2024,$32.09,7360,$29.50,$32.09,$29.50
12/19/2024,$31.80,2916,$31.26,$32.34,$31.26
12/18/2024,$32.84,4642,$32.84,$32.84,$31.20
12/17/2024,$32.50,3685,$31.06,$32.84,$31.06
12/16/2024,$32.00,3688,$32.84,$33.00,$32.00
12/13/2024,$33.00,22154,$30.81,$33.00,$30.81
12/12/2024,$32.84,2168,$31.50,$32.84,$30.75
12/11/2024,$31.66,1770,$32.84,$33.00,$31.66
12/10/2024,$32.00,2502,$32.84,$32.84,$32.00
12/09/2024,$32.16,1373,$34.75,$34.75,$32.16
12/06/2024,$32.00,2930,$32.16,$34.59,$32.00
12/05/2024,$32.55,3478,$34.64,$34.64,$32.16
12/04/2024,$31.41,2095,$34.54,$34.54,$31.41
12/03/2024,$31.16,2802,$33.64,$33.64,$31.16
12/02/2024,$33.24,4125,$31.06,$33.24,$31.06
11/29/2024,$33.40,1748,$33.24,$33.40,$30.86
11/27/2024,$30.86,5322,$32.74,$32.90,$30.86
11/26/2024,$31.84,5813,$32.89,$33.05,$30.83
11/25/2024,$31.775,3046,$32.89,$32.89,$30.50
