company_name,price_date,price_type,price
DBS,2023-05-23,Actual,23.52
DBS,2023-05-24,Actual,23.41
DBS,2023-05-25,Actual,23.48
DBS,2023-05-26,Actual,23.5
DBS,2023-05-30,Actual,23.32
DBS,2023-05-31,Actual,21.92
DBS,2023-06-01,Actual,22.81
DBS,2023-06-02,Actual,23.26
DBS,2023-06-05,Actual,23.005
DBS,2023-06-06,Actual,23.3
DBS,2023-06-07,Actual,23.26
DBS,2023-06-08,Actual,22.85
DBS,2023-06-09,Actual,23.0
DBS,2023-06-12,Actual,23.48
DBS,2023-06-13,Actual,23.48
DBS,2023-06-14,Actual,23.34
DBS,2023-06-15,Actual,23.5
DBS,2023-06-16,Actual,23.0
DBS,2023-06-20,Actual,23.1
DBS,2023-06-21,Actual,23.34
DBS,2023-06-22,Actual,23.7
DBS,2023-06-23,Actual,23.39
DBS,2023-06-26,Actual,23.249
DBS,2023-06-27,Actual,23.51
DBS,2023-06-28,Actual,23.47
DBS,2023-06-29,Actual,23.28
DBS,2023-06-30,Actual,23.56
DBS,2023-07-03,Actual,23.51
DBS,2023-07-05,Actual,22.9
DBS,2023-07-06,Actual,22.44
DBS,2023-07-07,Actual,22.87
DBS,2023-07-10,Actual,23.08
DBS,2023-07-11,Actual,23.34
DBS,2023-07-12,Actual,23.27
DBS,2023-07-13,Actual,23.55
DBS,2023-07-14,Actual,24.2351
DBS,2023-07-17,Actual,25.1
DBS,2023-07-18,Actual,25.19
DBS,2023-07-19,Actual,24.53
DBS,2023-07-20,Actual,23.75
DBS,2023-07-21,Actual,23.82
DBS,2023-07-24,Actual,24.89
DBS,2023-07-25,Actual,23.85
DBS,2023-07-26,Actual,24.59
DBS,2023-07-27,Actual,25.27
DBS,2023-07-28,Actual,26.15
DBS,2023-07-31,Actual,26.08
DBS,2023-08-01,Actual,25.16
DBS,2023-08-02,Actual,25.77
DBS,2023-08-03,Actual,24.71
DBS,2023-08-04,Actual,26.23
DBS,2023-08-07,Actual,25.67
DBS,2023-08-08,Actual,25.96
DBS,2023-08-09,Actual,25.53
DBS,2023-08-10,Actual,25.58
DBS,2023-08-11,Actual,25.01
DBS,2023-08-14,Actual,24.96
DBS,2023-08-15,Actual,24.22
DBS,2023-08-16,Actual,23.98
DBS,2023-08-17,Actual,24.51
DBS,2023-08-18,Actual,24.27
DBS,2023-08-21,Actual,23.56
DBS,2023-08-22,Actual,24.2
DBS,2023-08-23,Actual,24.58
DBS,2023-08-24,Actual,23.65
DBS,2023-08-25,Actual,24.86
DBS,2023-08-28,Actual,24.9
DBS,2023-08-29,Actual,24.29
DBS,2023-08-30,Actual,24.74
DBS,2023-08-31,Actual,24.24
DBS,2023-09-01,Actual,25.25
DBS,2023-09-05,Actual,24.08
DBS,2023-09-06,Actual,24.09
DBS,2023-09-07,Actual,24.74
DBS,2023-09-08,Actual,24.73
DBS,2023-09-11,Actual,24.74
DBS,2023-09-12,Actual,24.12
DBS,2023-09-13,Actual,24.74
DBS,2023-09-14,Actual,25.06
DBS,2023-09-15,Actual,25.67
DBS,2023-09-18,Actual,25.24
DBS,2023-09-19,Actual,24.4
DBS,2023-09-20,Actual,25.1
DBS,2023-09-21,Actual,23.91
DBS,2023-09-22,Actual,24.5
DBS,2023-09-25,Actual,24.64
DBS,2023-09-26,Actual,24.2
DBS,2023-09-27,Actual,24.37
DBS,2023-09-28,Actual,24.79
DBS,2023-09-29,Actual,24.65
DBS,2023-10-02,Actual,24.62
DBS,2023-10-03,Actual,24.14
DBS,2023-10-04,Actual,24.07
DBS,2023-10-05,Actual,24.05
DBS,2023-10-06,Actual,24.61
DBS,2023-10-09,Actual,24.96
DBS,2023-10-10,Actual,24.51
DBS,2023-10-11,Actual,24.35
DBS,2023-10-12,Actual,24.97
DBS,2023-10-13,Actual,24.2
DBS,2023-10-16,Actual,24.17
DBS,2023-10-17,Actual,24.29
DBS,2023-10-18,Actual,24.24
DBS,2023-10-19,Actual,24.0
DBS,2023-10-20,Actual,23.73
DBS,2023-10-23,Actual,24.3
DBS,2023-10-24,Actual,24.62
DBS,2023-10-25,Actual,24.19
DBS,2023-10-26,Actual,23.88
DBS,2023-10-27,Actual,23.59
DBS,2023-10-30,Actual,23.99
DBS,2023-10-31,Actual,24.37
DBS,2023-11-01,Actual,23.5
DBS,2023-11-02,Actual,23.5
DBS,2023-11-03,Actual,25.26
DBS,2023-11-06,Actual,24.56
DBS,2023-11-07,Actual,24.95
DBS,2023-11-08,Actual,24.73
DBS,2023-11-09,Actual,24.05
DBS,2023-11-10,Actual,24.15
DBS,2023-11-13,Actual,24.13
DBS,2023-11-14,Actual,23.85
DBS,2023-11-15,Actual,24.065
DBS,2023-11-16,Actual,23.96
DBS,2023-11-17,Actual,24.62
DBS,2023-11-20,Actual,24.63
DBS,2023-11-21,Actual,23.6
DBS,2023-11-22,Actual,24.0925
DBS,2023-11-24,Actual,24.3
DBS,2023-11-27,Actual,23.99
DBS,2023-11-28,Actual,23.765
DBS,2023-11-29,Actual,23.526
DBS,2023-11-30,Actual,23.87
DBS,2023-12-01,Actual,24.04
DBS,2023-12-04,Actual,23.685
DBS,2023-12-05,Actual,23.3
DBS,2023-12-06,Actual,23.5
DBS,2023-12-07,Actual,23.65
DBS,2023-12-08,Actual,23.2
DBS,2023-12-11,Actual,23.09
DBS,2023-12-12,Actual,23.8
DBS,2023-12-13,Actual,23.46
DBS,2023-12-14,Actual,23.65
DBS,2023-12-15,Actual,23.1
DBS,2023-12-18,Actual,23.35
DBS,2023-12-19,Actual,24.22
DBS,2023-12-20,Actual,23.7
DBS,2023-12-21,Actual,23.48
DBS,2023-12-22,Actual,23.56
DBS,2023-12-26,Actual,24.95
DBS,2023-12-27,Actual,24.34
DBS,2023-12-28,Actual,25.2
DBS,2023-12-29,Actual,25.41
DBS,2024-01-02,Actual,25.09
DBS,2024-01-03,Actual,24.49
DBS,2024-01-04,Actual,24.37
DBS,2024-01-05,Actual,24.41
DBS,2024-01-08,Actual,24.9
DBS,2024-01-09,Actual,24.55
DBS,2024-01-10,Actual,24.16
DBS,2024-01-11,Actual,24.3
DBS,2024-01-12,Actual,24.09
DBS,2024-01-16,Actual,24.5
DBS,2024-01-17,Actual,23.8
DBS,2024-01-18,Actual,23.56
DBS,2024-01-19,Actual,24.28
DBS,2024-01-22,Actual,23.56
DBS,2024-01-23,Actual,24.09
DBS,2024-01-24,Actual,23.864
DBS,2024-01-25,Actual,24.2
DBS,2024-01-26,Actual,24.11
DBS,2024-01-29,Actual,23.85
DBS,2024-01-30,Actual,23.8
DBS,2024-01-31,Actual,23.77
DBS,2024-02-01,Actual,23.98
DBS,2024-02-02,Actual,23.92
DBS,2024-02-05,Actual,24.03
DBS,2024-02-06,Actual,23.28
